image_file,correct_answer,thisN,thisTrialN,thisRepN,us_state_response.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wider_states_trials.thisRepN,wider_states_trials.thisTrialN,wider_states_trials.thisN,wider_states_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions_states_task.started,task_instructions.started,instruction_resp.started,instructions_states_task.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,States_Naming_Task.started,stimuli_prompt.started,state_pics.started,us_state_response.started,States_Naming_Task.stopped,wider_states_trials.us_state_response.text,instructions_countries.started,text.started,key_resp.started,text.stopped,instructions_countries.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Country_Naming_Task.started,Country_Naming_Task.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0030119000002741814,0.012147399997047614,0.012147399997047614,1.0019255999977759,space,0.9725380000018049,None,,,,,,,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
states/Alaska-Outline-Map.jpg,Alaska,0,0,0,good,,,,,0,0,0,0,,,,,1.070573199998762,,,,,,,,,1.0494915999988734,1.5304431000004115,1.5304431000004115,1.5304431000004115,8.520033599997987,good,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
states/Maryland-Outline-Map.jpg,Maryland,1,1,0,yeah!,,,,,0,1,1,9,,,,,8.594565899998997,,,,,,,,,8.559959199999867,9.027088799997728,9.027088799997728,9.027088799997728,16.003600500000175,yeah!,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
states/Virginia-Outline-Map.jpg,Virginia,2,2,0,pluh,,,,,0,2,2,8,,,,,16.069882599997072,,,,,,,,,16.049745000000257,16.523468600000342,16.523468600000342,16.523468600000342,23.5099498999989,pluh,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
states/Mississippi-Outline-Map.jpg,Mississippi,3,3,0,too wide,,,,,0,3,3,2,,,,,23.608144800000446,,,,,,,,,23.555546499999764,24.013267199999973,24.013267199999973,24.013267199999973,31.01225069999782,too wide,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
states/Nebraska-Outline-Map.jpg,Nebraska,4,4,0,not wide enough,,,,,0,4,4,3,,,,,31.073215999997046,,,,,,,,,31.046276599998237,31.520865999998932,31.520865999998932,31.520865999998932,38.52241839999988,not wide enough,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
states/North-Carolina-Outline-Map.jpg,North Carolina,5,5,0,good,,,,,0,5,5,4,,,,,38.57594119999703,,,,,,,,,38.556790399998135,39.02099209999869,39.02099209999869,39.02099209999869,46.01582190000045,good,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
states/Oklahoma-Outline-Map.jpg,Oklahoma,6,6,0,wider neededsd,,,,,0,6,6,6,,,,,46.078408400000626,,,,,,,,,46.05653700000039,46.52017630000046,46.52017630000046,46.52017630000046,53.5230018000002,wider neededsd,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
states/Kentucky-Outline-Map.jpg,Kentucky,7,7,0,good,,,,,0,7,7,1,,,,,53.57629889999953,,,,,,,,,53.55634359999749,54.01589199999944,54.01589199999944,54.01589199999944,61.01102639999954,good,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
states/Tennessee-Outline-Map.jpg,Tennessee,8,8,0,wider needed,,,,,0,8,8,10,,,,,61.054257299998426,,,,,,,,,61.038319199997204,61.523281300000235,61.523281300000235,61.523281300000235,68.51157160000002,wider needed,,,,,,,,,,,027952,001,2025-04-11_19h55.41.729,state_naming_task,2024.2.4,60.00726087796803,2025-04-11 19h55.47.216366 -0600,
