image_file,correct_answer,thisN,thisTrialN,thisRepN,country_response.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,okay_country_trials.thisRepN,okay_country_trials.thisTrialN,okay_country_trials.thisN,okay_country_trials.thisIndex,thisRow.t,notes,instructions_states_task.started,task_instructions.started,instruction_resp.started,instructions_states_task.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,instructions_countries_task.started,task_instructions_2.started,instructions_resp_2.started,instructions_countries_task.stopped,instructions_resp_2.keys,instructions_resp_2.rt,instructions_resp_2.duration,Country_Naming_Task.started,stimuli_prompt_4.started,country_response.started,okay_country_pics.started,Country_Naming_Task.stopped,okay_country_trials.country_response.text,stimuli_prompt_4.stopped,country_response.stopped,okay_country_pics.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.003089800004090648,0.010505600002943538,0.010505600002943538,1.2516508000044269,space,1.222416800002975,None,,,,,,,,,,,,,,,,,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.252021500004048,1.2714567000002717,1.2714567000002717,1.9181150000003981,space,0.6417302999980166,None,,,,,,,,,,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
south_america/Venezuela-Country-Outline.jpg,Venezuela,0,0,0,Bolivia,,,,,,,,,,,,,0,0,0,11,2.01632729999983,,,,,,,,,,,,,,,,1.9983424000020023,2.4414371000020765,2.4414371000020765,2.4414371000020765,9.425316699998803,Bolivia,,,,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
south_america/Uruguay-Country-Outline.jpg,Uruguay,1,1,0,Bolivia,,,,,,,,,,,,,0,1,1,10,9.523010800003249,,,,,,,,,,,,,,,,9.501031200001307,9.93646080000326,9.93646080000326,9.93646080000326,16.94075359999988,Bolivia,,,,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
south_america/Colombia-Country-Outline.jpg,Colombia,2,2,0,Colombia,,,,,,,,,,,,,0,2,2,4,17.01739720000478,,,,,,,,,,,,,,,,17.003441300003033,17.426450700004352,17.426450700004352,17.426450700004352,24.4161987999978,Colombia,24.489121700004034,24.489121700004034,24.489121700004034,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
south_america/Bolivia-Country-Outline.jpg,Bolivia,3,3,0,Paraguay,,,,,,,,,,,,,0,3,3,1,24.489121700004034,,,,,,,,,,,,,,,,24.474821800002246,24.941996400004427,24.941996400004427,24.941996400004427,31.933324400000856,Paraguay,,,,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
south_america/Guyana-Country-Outline.jpg,Guyana,4,4,0,,,,,,,,,,,,,,0,4,4,6,32.00802719999774,,,,,,,,,,,,,,,,31.995914099999936,32.43378140000277,32.43378140000277,32.43378140000277,39.431473900003766,,,,,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
south_america/Argentina-Country-Outline.jpg,Argentina,5,5,0,Guyana,,,,,,,,,,,,,0,5,5,0,39.475188700002036,,,,,,,,,,,,,,,,39.46450370000093,39.929951099999016,39.929951099999016,39.929951099999016,46.9197686999978,Guyana,,,,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
south_america/Brazil-Country-Outline.jpg,Brazil,6,6,0,Brazil,,,,,,,,,,,,,0,6,6,2,46.98491450000438,,,,,,,,,,,,,,,,46.971052699998836,47.4291119000045,47.4291119000045,47.4291119000045,54.41593719999946,Brazil,54.50603460000275,54.50603460000275,54.50603460000275,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
south_america/Ecuador-Country-Outline.jpg,Ecuador,7,7,0,Paraguay,,,,,,,,,,,,,0,7,7,5,54.50603460000275,,,,,,,,,,,,,,,,54.486032000000705,54.92547490000288,54.92547490000288,54.92547490000288,61.91382320000412,Paraguay,62.00769450000371,62.00769450000371,62.00769450000371,269876,001,2025-04-11_21h29.10.058,state_naming_task,2024.2.4,60.20223133440208,2025-04-11 21h29.19.783605 -0600,
