image_file,correct_answer,thisN,thisTrialN,thisRepN,us_state_response.text,trials_us_states.thisRepN,trials_us_states.thisTrialN,trials_us_states.thisN,trials_us_states.thisIndex,thisRow.t,notes,instructions_states.started,task_instructions.started,instruction_resp.started,instructions_states.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,State_Naming_Task.started,stimuli_prompt.started,state_pics.started,us_state_response.started,State_Naming_Task.stopped,trials_us_states.us_state_response.text,stimuli_prompt.stopped,state_pics.stopped,us_state_response.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0037082999988342635,0.03011530000003404,0.03011530000003404,0.7933593000016117,space,0.7461414999997942,None,,,,,,,,,,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
states/Wisconsin-Outline-Map.jpg,Wisconsin,0,0,0, Delaware,0,0,0,48,0.9454451999990852,,,,,,,,,0.882528000001912,1.3040397000004305,1.3040397000004305,1.3040397000004305,8.301098200001434, Delaware,,,,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
states/Arizona-Outline-Map.jpg,Arizona,1,1,0,Minnesota,0,1,1,2,8.32683410000027,,,,,,,,,8.315279099999316,8.813182500001858,8.813182500001858,8.813182500001858,15.809591699999146,Minnesota,,,,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
states/Hawaii-Outline-Map.jpg,Hawaii,2,2,0,Hawaii,0,2,2,10,15.874756699999125,,,,,,,,,15.845665799999551,16.30767520000154,16.30767520000154,16.30767520000154,23.300310300001,Hawaii,,,,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
states/Iowa-Outline-Map.jpg,Iowa,3,3,0,uuuugh,0,3,3,14,23.403728799999953,,,,,,,,,23.349734600000374,23.81214330000148,23.81214330000148,23.81214330000148,30.80247429999872,uuuugh,,,,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
states/Connecticut-Outline-Map.jpg,Connecticut,4,4,0,Wtf,0,4,4,6,30.894972800000687,,,,,,,,,30.85219109999889,31.300105000002077,31.300105000002077,31.300105000002077,38.29016150000098,Wtf,38.36506039999949,38.36506039999949,38.36506039999949,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
states/Mississippi-Outline-Map.jpg,Mississippi,5,5,0,Nose,0,5,5,23,38.36506039999949,,,,,,,,,38.33208350000132,38.81425070000114,38.81425070000114,38.81425070000114,45.79355209999994,Nose,,,,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
states/Florida-Outline-Map.jpg,Florida,6,6,0,Florida,0,6,6,8,45.88845859999856,,,,,,,,,45.8435653000015,46.31177300000127,46.31177300000127,46.31177300000127,53.2949852999991,Florida,,,,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
states/Utah-Outline-Map.jpg,Utah,7,7,0,Box,0,7,7,43,53.40481410000211,,,,,,,,,53.35731400000077,53.80451539999922,53.80451539999922,53.80451539999922,60.805251699999644,Box,,,,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
states/South-Carolina-Outline-Map.jpg,South Carolina,8,8,0,Vermont,0,8,8,39,60.9406908000019,,,,,,,,,60.882300600002054,61.31776860000173,61.31776860000173,61.31776860000173,68.31533839999975,Vermont,,,,991170,001,2025-04-11_18h48.28.868,state_naming_task,2024.2.4,60.02782890155317,2025-04-11 18h48.34.161194 -0600,
