image_file,correct_answer,thisN,thisTrialN,thisRepN,us_state_response.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wider_states_trials.thisRepN,wider_states_trials.thisTrialN,wider_states_trials.thisN,wider_states_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions_states_task.started,task_instructions.started,instruction_resp.started,instructions_states_task.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,States_Naming_Task.started,stimuli_prompt.started,state_pics.started,us_state_response.started,States_Naming_Task.stopped,wider_states_trials.us_state_response.text,stimuli_prompt.stopped,state_pics.stopped,us_state_response.stopped,instructions_countries.started,text.started,key_resp.started,text.stopped,instructions_countries.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Country_Naming_Task.started,Country_Naming_Task.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.003419900000153575,0.013402800002950244,0.013402800002950244,0.8502541000016208,space,0.8200501999999688,None,,,,,,,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/South-Dakota-Outline-Map.jpg,South Dakota,0,0,0,good ti,,,,,0,0,0,6,,,,,0.9634655000008934,,,,,,,,,0.9026929000028758,1.3765789000026416,1.3765789000026416,1.3765789000026416,8.352175300002273,good ti,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/North-Carolina-Outline-Map.jpg,North Carolina,1,1,0,good,,,,,0,1,1,3,,,,,8.44548980000036,,,,,,,,,8.391233100002864,8.860606000002008,8.860606000002008,8.860606000002008,15.865328500000032,good,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/Oklahoma-Outline-Map.jpg,Oklahoma,2,2,0,good,,,,,0,2,2,5,,,,,15.932905700003175,,,,,,,,,15.903811700001825,16.370840999999928,16.370840999999928,16.370840999999928,23.371160700000473,good,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/Kentucky-Outline-Map.jpg,Kentucky,3,3,0,good,,,,,0,3,3,1,,,,,23.424628900000243,,,,,,,,,23.406632300000638,23.863247799999954,23.863247799999954,23.863247799999954,30.860067600002367,good,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/Nebraska-Outline-Map.jpg,Nebraska,4,4,0,slightly wider please,,,,,0,4,4,2,,,,,30.91355300000214,,,,,,,,,30.894451000000117,31.37135330000092,31.37135330000092,31.37135330000092,38.35945830000128,slightly wider please,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/Ohio-Outline-Map.jpg,Ohio,5,5,0,slightly too wide,,,,,0,5,5,4,,,,,38.51213590000043,,,,,,,,,38.42334750000009,38.87214960000347,38.87214960000347,38.87214960000347,45.86117870000089,slightly too wide,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/Tennessee-Outline-Map.jpg,Tennessee,6,6,0,good,,,,,0,6,6,9,,,,,45.904657700000826,,,,,,,,,45.88791260000289,46.366185900002165,46.366185900002165,46.366185900002165,53.350830600000336,good,53.39609410000048,53.39609410000048,53.39609410000048,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/Virginia-Outline-Map.jpg,Virginia,7,7,0,good,,,,,0,7,7,7,,,,,53.39609410000048,,,,,,,,,53.37762180000209,53.876604700002645,53.876604700002645,53.876604700002645,60.85874680000052,good,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/Maryland-Outline-Map.jpg,Maryland,8,8,0,good,,,,,0,8,8,8,,,,,60.93952690000151,,,,,,,,,60.91326040000058,61.361942800002,61.361942800002,61.361942800002,68.36506890000237,good,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
states/Alaska-Outline-Map.jpg,Alaska,9,9,0,good,,,,,0,9,9,0,,,,,68.43040720000135,,,,,,,,,68.40589920000275,68.87310480000087,68.87310480000087,68.87310480000087,75.86959900000147,good,,,,,,,,,,,,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.86994590000177,75.89169830000174,75.89169830000174,76.90644610000163,77.06574190000174,space,1.1719297999989067,None,,,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.06579070000225,77.06601650000084,291357,001,2025-04-11_20h03.57.767,state_naming_task,2024.2.4,60.118047799079235,2025-04-11 20h04.04.324467 -0600,
