image_file,correct_answer,thisN,thisTrialN,thisRepN,us_state_response_2.text,us_state_response_3.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wider_states_trials.thisRepN,wider_states_trials.thisTrialN,wider_states_trials.thisN,wider_states_trials.thisIndex,taller_states_trials.thisRepN,taller_states_trials.thisTrialN,taller_states_trials.thisN,taller_states_trials.thisIndex,okay_country_trials.thisRepN,okay_country_trials.thisTrialN,okay_country_trials.thisN,okay_country_trials.thisIndex,thisRow.t,notes,States_Naming_Task_2.started,stimuli_prompt_2.started,wider_state_pics.started,us_state_response_2.started,States_Naming_Task_2.stopped,wider_states_trials.us_state_response_2.text,stimuli_prompt_2.stopped,wider_state_pics.stopped,us_state_response_2.stopped,States_Naming_Task_3.started,stimuli_prompt_3.started,taller_state_pics.started,us_state_response_3.started,States_Naming_Task_3.stopped,taller_states_trials.us_state_response_3.text,stimuli_prompt_3.stopped,taller_state_pics.stopped,us_state_response_3.stopped,instructions_countries_task.started,task_instructions_2.started,instructions_resp_2.started,instructions_countries_task.stopped,instructions_resp_2.keys,instructions_resp_2.rt,instructions_resp_2.duration,Country_Naming_Task.started,stimuli_prompt_4.started,country_response.started,okay_country_pics.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
states/Kentucky-Outline-Map.jpg,Kentucky,0,0,0,,,,,,,0,0,0,1,,,,,,,,,0.06627319999824977,,0.04552980000153184,0.5180381999962265,0.5180381999962265,0.5180381999962265,7.520573900001182,,,,,,,,,,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
states/Oklahoma-Outline-Map.jpg,Oklahoma,1,1,0,,,,,,,0,1,1,4,,,,,,,,,7.5797137999979896,,7.558333799999673,8.016839999996591,8.016839999996591,8.016839999996591,15.003295499998785,,,,,,,,,,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
states/South-Dakota-Outline-Map.jpg,South Dakota,2,2,0,,,,,,,0,2,2,5,,,,,,,,,15.072204500000225,,15.048441499995533,15.529513199995563,15.529513199995563,15.529513199995563,22.511575500000617,,,,,,,,,,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
states/Maryland-Outline-Map.jpg,Maryland,3,3,0,,,,,,,0,3,3,7,,,,,,,,,22.57494669999869,,22.55274300000019,23.00711769999907,23.00711769999907,23.00711769999907,30.000086899999587,,30.052016299996467,30.052016299996467,30.052016299996467,,,,,,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
states/North-Carolina-Outline-Map.jpg,North Carolina,4,4,0,,,,,,,0,4,4,3,,,,,,,,,30.052016299996467,,30.03433309999673,30.508147499996994,30.508147499996994,30.508147499996994,37.49580789999891,,37.53955080000014,37.53955080000014,37.53955080000014,,,,,,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
states/Tennessee-Outline-Map.jpg,Tennessee,5,5,0,,,,,,,0,5,5,8,,,,,,,,,37.53955080000014,,37.522714499995345,38.02276359999814,38.02276359999814,38.02276359999814,45.0034383999955,,,,,,,,,,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
states/Virginia-Outline-Map.jpg,Virginia,6,6,0,,,,,,,0,6,6,6,,,,,,,,,45.05730069999845,,45.03860839999834,45.50776219999534,45.50776219999534,45.50776219999534,52.509243000000424,,,,,,,,,,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
states/Alaska-Outline-Map.jpg,Alaska,7,7,0,,,,,,,0,7,7,0,,,,,,,,,52.57141199999751,,52.54977649999637,53.01747790000081,53.01747790000081,53.01747790000081,60.00654859999486,,,,,,,,,,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
states/Nebraska-Outline-Map.jpg,Nebraska,8,8,0,,,,,,,0,8,8,2,,,,,,,,,60.0603570999956,,60.04162749999523,60.52657829999953,60.52657829999953,60.52657829999953,67.51088019999588,,,,,,,,,,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
states/New-Hampshire-Outline-Map.jpg,New Hampshire,0,0,0,,,,,,,,,,,0,0,0,4,,,,,67.56698029999825,,,,,,,,,,,67.54689489999873,68.00765919999685,68.00765919999685,68.00765919999685,75.00956249999581,,,,,,,,,,,,,,,,453356,001,2025-04-11_22h05.33.435,state_naming_task,2024.2.4,60.01359908205119,2025-04-11 22h05.39.568132 -0600,
