image_file,correct_answer,thisN,thisTrialN,thisRepN,country_response.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,okay_country_trials.thisRepN,okay_country_trials.thisTrialN,okay_country_trials.thisN,okay_country_trials.thisIndex,thisRow.t,notes,instructions_states_task.started,task_instructions.started,instruction_resp.started,instructions_states_task.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,instructions_countries_task.started,task_instructions_2.started,instructions_resp_2.started,instructions_countries_task.stopped,instructions_resp_2.keys,instructions_resp_2.rt,instructions_resp_2.duration,Country_Naming_Task.started,stimuli_prompt_4.started,country_response.started,okay_country_pics.started,Country_Naming_Task.stopped,okay_country_trials.country_response.text,stimuli_prompt_4.stopped,country_response.stopped,okay_country_pics.stopped,Finish_Screen.started,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.003461399996012915,0.029862199997296557,0.029862199997296557,3.885918699998001,space,3.8419275999985985,None,,,,,,,,,,,,,,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.886300999998639,3.904774599999655,3.904774599999655,5.401299999997718,space,1.492957499998738,None,,,,,,,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
south_america/Chile-Country-Outline.jpg,Chile,0,0,0,chile,,,,,,,,,,,,,0,0,0,3,5.434270599995216,,,,,,,,,,,,,,,,5.425677399995038,5.916007999992871,5.916007999992871,5.916007999992871,12.915975699994306,chile,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
south_america/Venezuela-Country-Outline.jpg,Venezuela,1,1,0,brazil,,,,,,,,,,,,,0,1,1,11,13.011830899995402,,,,,,,,,,,,,,,,12.987983099999838,13.42428739999741,13.42428739999741,13.42428739999741,20.405954499998188,brazil,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
south_america/Brazil-Country-Outline.jpg,Brazil,2,2,0,brazil,,,,,,,,,,,,,0,2,2,2,20.47063799999887,,,,,,,,,,,,,,,,20.45177519999561,20.92874729999312,20.92874729999312,20.92874729999312,27.922872399998596,brazil,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
south_america/Uruguay-Country-Outline.jpg,Uruguay,3,3,0,paraguay,,,,,,,,,,,,,0,3,3,10,28.028471899997385,,,,,,,,,,,,,,,,27.999416399994516,28.413669999994454,28.413669999994454,28.413669999994454,35.408657099993434,paraguay,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
south_america/Bolivia-Country-Outline.jpg,Bolivia,4,4,0,uruguay,,,,,,,,,,,,,0,4,4,1,35.48252899999352,,,,,,,,,,,,,,,,35.46570569999312,35.91215289999673,35.91215289999673,35.91215289999673,42.91239809999388,uruguay,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
south_america/Ecuador-Country-Outline.jpg,Ecuador,5,5,0,,,,,,,,,,,,,,0,5,5,5,43.00139999999374,,,,,,,,,,,,,,,,42.98516209999798,43.42738699999609,43.42738699999609,43.42738699999609,50.418790899995656,,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
south_america/Guyana-Country-Outline.jpg,Guyana,6,6,0,,,,,,,,,,,,,,0,6,6,6,50.48827049999818,,,,,,,,,,,,,,,,50.4743887999939,50.91186759999982,50.91186759999982,50.91186759999982,57.90665529999387,,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
south_america/Suriname-Country-Outline.jpg,Suriname,7,7,0,,,,,,,,,,,,,,0,7,7,9,58.00922809999611,,,,,,,,,,,,,,,,57.991609699995024,58.408643499999016,58.408643499999016,58.408643499999016,65.40317039999354,,,,,,,731874,001,2025-04-11_21h22.03.845,state_naming_task,2024.2.4,59.77121967968859,2025-04-11 21h22.10.306895 -0600,
