image_file,correct_answer,thisN,thisTrialN,thisRepN,us_state_response.text,trials_us_states.thisRepN,trials_us_states.thisTrialN,trials_us_states.thisN,trials_us_states.thisIndex,thisRow.t,notes,instructions_states.started,task_instructions.started,instruction_resp.started,instructions_states.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,State_Naming_Task.started,stimuli_prompt.started,state_pics.started,us_state_response.started,State_Naming_Task.stopped,trials_us_states.us_state_response.text,stimuli_prompt.stopped,state_pics.stopped,us_state_response.stopped,instructions_countries.started,text.started,key_resp.started,text.stopped,instructions_countries.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Country_Naming_Task.started,Country_Naming_Task.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003397100001166109,0.0181750000010652,0.0181750000010652,1.1178987000021152,space,1.0739332999983162,None,,,,,,,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Arizona-Outline-Map.jpg,Arizona,0,0,0, Wi,0,0,0,2,1.1723390000006475,,,,,,,,,1.1553483999996388,1.6331028000022343,1.6331028000022343,1.6331028000022343,8.627739600000496, Wi,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Massachusetts-Outline-Map.jpg,Massachusetts,1,1,0,Minnesota,0,1,1,20,8.713457599998947,,,,,,,,,8.678319000002375,9.12488790000134,9.12488790000134,9.12488790000134,16.131601100001717,Minnesota,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Tennessee-Outline-Map.jpg,Tennessee,2,2,0,Tennessee,0,2,2,41,16.19206540000232,,,,,,,,,16.157012899999245,16.623645899999246,16.623645899999246,16.623645899999246,23.61244169999918,Tennessee,23.72135270000217,23.72135270000217,23.72135270000217,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Utah-Outline-Map.jpg,Utah,3,3,0,Okay,0,3,3,43,23.72135270000217,,,,,,,,,23.676352900001802,24.128120299999864,24.128120299999864,24.128120299999864,31.12413319999905,Okay,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/New-York-Outline-Map.jpg,New York,4,4,0,New York,0,4,4,31,31.187701700000616,,,,,,,,,31.167034000001877,31.637204000002384,31.637204000002384,31.637204000002384,38.62093670000104,New York,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Montana-Outline-Map.jpg,Montana,5,5,0,Oregon,0,5,5,25,38.67700320000222,,,,,,,,,38.65522880000208,39.12520480000239,39.12520480000239,39.12520480000239,46.126890399998956,Oregon,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Nevada-Outline-Map.jpg,Nevada,6,6,0,Wierd,0,6,6,27,46.22635989999981,,,,,,,,,46.17723300000216,46.62597160000223,46.62597160000223,46.62597160000223,53.61851540000134,Wierd,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/South-Dakota-Outline-Map.jpg,South Dakota,7,7,0,Okay,0,7,7,40,53.70771270000114,,,,,,,,,53.672476700001425,54.125817899999674,54.125817899999674,54.125817899999674,61.11631100000159,Okay,61.30946810000023,61.30946810000023,61.30946810000023,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Arkansas-Outline-Map.jpg,Arkansas,8,8,0,Slightly needs longer,0,8,8,3,61.30946810000023,,,,,,,,,61.205096100002265,61.63762359999964,61.63762359999964,61.63762359999964,68.63373929999943,Slightly needs longer,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Iowa-Outline-Map.jpg,Iowa,9,9,0,Slightly needs taller,0,9,9,14,68.7515299000006,,,,,,,,,68.69634270000097,69.12432170000102,69.12432170000102,69.12432170000102,76.11635820000083,Slightly needs taller,76.18358690000241,76.18358690000241,76.18358690000241,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Nebraska-Outline-Map.jpg,Nebraska,10,10,0,Almost okay a bit wider now,0,10,10,26,76.18358690000241,,,,,,,,,76.16090110000005,76.64614369999981,76.64614369999981,76.64614369999981,83.64007850000053,Almost okay a bit wider now,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
states/Vermont-Outline-Map.jpg,Vermont,11,11,0,too tall,0,11,11,44,83.70661649999965,,,,,,,,,83.68097910000142,84.14521890000105,84.14521890000105,84.14521890000105,91.1370793999995,too tall,,,,,,,,,,,,,,187595,001,2025-04-11_18h52.52.876,state_naming_task,2024.2.4,59.96372194859219,2025-04-11 18h52.58.260068 -0600,
